,Article URL,total_freq,Final URL,Status Code,Redirect
875,https://www.readfulapp.com/site/Headlines/?tag=Breaking Headlines&item=5990a15c16efb41b1f4f9b60,1.0,https://readfulapp.com/site/Headlines/?tag=Breaking%20Headlines&item=5990a15c16efb41b1f4f9b60,404,True
876,http://www.pelop.gr/default.aspx?page=article&DocID=393848,1.0,http://www.pelop.gr/default.aspx?page=article&DocID=393848,200,False
877,http://topsites.gdn/white-helmets-official-trailer-hd-netflix/,1.0,Not reached,Connection Failed,False
878,https://www.whatdotheyknow.com/request/funding_given_to_white_helmets_i,1.0,https://www.whatdotheyknow.com/request/funding_given_to_white_helmets_i,200,False
879,https://r3publican.wordpress.com/2017/07/06/the-fraud-of-the-white-helmets/,1.0,https://r3publican.wordpress.com/2017/07/06/the-fraud-of-the-white-helmets/,200,False
880,http://reports.swedhr.org/statement-by-swedish-doctors-for-human-rights-on-misrepresentations-referred-in-veterans-today-article-on-white-helmets/,1.0,http://reports.swedhr.org/statement-by-swedish-doctors-for-human-rights-on-misrepresentations-referred-in-veterans-today-article-on-white-helmets/,404,False
881,http://srilankaoneislandtwonations.tumblr.com/post/164118676531/seven-white-helmets-members-shot-dead-in-northwest,1.0,http://srilankaoneislandtwonations.tumblr.com/post/164118676531/seven-white-helmets-members-shot-dead-in-northwest,404,False
882,http://newsparot.com,1.0,http://newsparot.com/,200,True
883,http://truckingnews.us/the-latest-us-condemns-killing-of-7-white-helmets-in-syria/,1.0,https://truckingnews.us/the-latest-us-condemns-killing-of-7-white-helmets-in-syria/,200,True
884,https://actforpeace.rationchallenge.org.au/fundraisers/dianabarez,1.0,https://actforpeace.rationchallenge.org.au/fundraisers/dianabarez,200,False
885,http://trib.al/6EDrHbB,2.0,https://www.bbc.co.uk/news/live/uk-england-derbyshire-41097826?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_derby&ns_linkname=english_regions&ns_fee=0#post_59a94446e4b06b0a5464a752,200,True
886,http://en.addiyar.com/article/1409507-white-helmets-participate-in-smear-campaign-against-syria-govt--moscow,1.0,Not reached,Connection Failed,False
887,http://southpunjabnews.blogspot.com/2017/08/seven-white-helmets-medics-killed-in.html,1.0,https://www.southpunjabnews.com/2017/08/seven-white-helmets-medics-killed-in.html,200,True
888,http://news.google.com/news/url?sa=t&fd=R&ct2=uk&usg=AFQjCNHDgf_gG_3l7uuvJYg5v_ccz3UUeg&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=50CPWejgDIa1qgKmk6aIDw&url=https%3A%2F%2Fwww.wsj.com%2Farticles%2Fseven-white-helmets-members-shot-dead-in-northwestern-syria-1502542963,1.0,https://news.google.com/topstories?sa=t&fd=R&ct2=uk&usg=AFQjCNHDgf_gG_3l7uuvJYg5v_ccz3UUeg&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=50CPWejgDIa1qgKmk6aIDw&url=https://www.wsj.com/articles/seven-white-helmets-members-shot-dead-in-northwestern-syria-1502542963&hl=en-US&gl=US&ceid=US:en,200,True
889,http://www.middleeasteye.net/news/syrian-white-helmet-fake-confession-filmed-assad-regime-intelligence-prison-344419324#sthash.W4t6NxsL.uxfs,2.0,https://www.middleeasteye.net/news/beaten-confession-missing-syrian-rescuer-filmed-denouncing-white-helmets#sthash.W4t6NxsL.uxfs,200,True
890,http://uncut-news.ch/2017/06/22/whitehelmets-erneut-an-kriegsverbrechen-in-syrien-beteiligt-finanziert-auch-von-der-deutschen-bundesregierung/,10.0,https://uncut-news.ch/2017/06/22/whitehelmets-erneut-an-kriegsverbrechen-in-syrien-beteiligt-finanziert-auch-von-der-deutschen-bundesregierung/,404,True
891,https://www.rt.com/news/363363-white-helmets-funded-west/,4.0,https://www.rt.com/news/363363-white-helmets-funded-west/,200,False
892,http://nico.ms/sm28259073,1.0,https://www.nicovideo.jp/watch/sm28259073,200,True
893,http://theduran.com/george-clooney-comes-out-in-support-of-isis-al-qaeda-terrorist-organization-the-white-helmets-calls-them-heroes/,11.0,https://theduran.com/george-clooney-comes-out-in-support-of-isis-al-qaeda-terrorist-organization-the-white-helmets-calls-them-heroes/,404,True
894,http://steemit.com/dtube/@clarityofsignal/7pbwdyil,1.0,https://steemit.com/dtube/@clarityofsignal/7pbwdyil,200,True
895,https://www.arrahmah.com/2017/08/13/innalillah-tujuh-relawan-white-helmets-terbunuh-dalam-serangan-brutal/,2.0,https://www.arrahmah.com/2017/08/13/innalillah-tujuh-relawan-white-helmets-terbunuh-dalam-serangan-brutal/,200,False
896,http://www.wrongkindofgreen.org/2017/01/06/watch-white-helmets-the-mask-of-terror-with-english-subtitles/,2.0,http://www.wrongkindofgreen.org/2017/01/06/watch-white-helmets-the-mask-of-terror-with-english-subtitles/,403,False
897,https://www.armradio.am/en/2017/07/12/us-europe-should-investigate-azeri-shipments-of-weapons-to-terrorists/,1.0,https://en.armradio.am/,200,True
898,https://www.primewire.ag/watch-2796804-Last-Men-in-Aleppo-online-free,1.0,https://www.primewire.ag/watch-2796804-Last-Men-in-Aleppo-online-free,404,False
899,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGDMMsD_shYKgfRlvRN02Xx8rL3Gw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779577288356&ei=jiuPWcigF43G3QHcqbqABA&url=http://www.cnn.com/2017/08/12/middleeast/white-helmets-syria-killings/index.html,2.0,https://news.google.com/topstories?sa=t&fd=R&ct2=us&usg=AFQjCNGDMMsD_shYKgfRlvRN02Xx8rL3Gw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779577288356&ei=jiuPWcigF43G3QHcqbqABA&url=http://www.cnn.com/2017/08/12/middleeast/white-helmets-syria-killings/index.html&hl=en-US&gl=US&ceid=US:en,200,True
900,http://www.thetruthseeker.co.uk/?p=156076,1.0,http://www.thetruthseeker.co.uk/?p=156076,200,False
901,http://theduran.com/warning-disturbing-images-white-helmets-busted-killing-babies-in-pr-stunt-to-start-war-in-syria/,10.0,https://theduran.com/warning-disturbing-images-white-helmets-busted-killing-babies-in-pr-stunt-to-start-war-in-syria/,404,True
902,https://www.alternet.org/grayzone-project/how-white-helmets-became-international-heroes-while-pushing-us-military,2.0,https://www.alternet.org/grayzone-project/how-white-helmets-became-international-heroes-while-pushing-us-military/,404,True
903,https://globalnews.ca/video/3010935/french-parliament-honours-syrias-white-helmets,1.0,https://globalnews.ca/video/3010935/french-parliament-honours-syrias-white-helmets,200,False
904,https://www.rubikon.news/artikel/whistleblower-enthullt-wie-der-fuhrende-nato-verbundete-den-is-bewaffnet-und-unterstutzt,1.0,https://www.rubikon.news/artikel/whistleblower-enthullt-wie-der-fuhrende-nato-verbundete-den-is-bewaffnet-und-unterstutzt,200,False
905,https://www.sott.net/article/356132-White-Helmets-superfan-George-Clooney-to-move-family-back-to-US-from-UK-over-terrorism-fears-caused-by-refugee-policies-he-supported,9.0,https://www.sott.net/article/356132-White-Helmets-superfan-George-Clooney-to-move-family-back-to-US-from-UK-over-terrorism-fears-caused-by-refugee-policies-he-supported,200,False
906,http://www.jewworldorder.org/uk-funded-oscar-awarded-white-helmets-caught-beheading-syrian-army-bodies-graphic-video/,1.0,http://www.jewworldorder.org/uk-funded-oscar-awarded-white-helmets-caught-beheading-syrian-army-bodies-graphic-video/,200,False
907,https://www.linkedin.com/slink?code=eTmUYYJ,1.0,https://www.youtube.com/watch?v=3wj4ncIEDxw&feature=share,200,True
908,http://landdestroyer.blogspot.nl/2016/11/syria-white-helmets-caught-in-mannequin.html?m=1,1.0,https://landdestroyer.blogspot.com/2016/11/syria-white-helmets-caught-in-mannequin.html?m=1,200,True
909,https://www.nytimes.com/2017/07/13/world/americas/venezuela-protests-green-cross-volunteer-medics.html,1.0,https://www.nytimes.com/2017/07/13/world/americas/venezuela-protests-green-cross-volunteer-medics.html,200,False
910,http://www.platoscave.org/2017/06/syrias-white-helmets-al-qaedas-co.html,4.0,https://www.platoscave.org/2017/06/syrias-white-helmets-al-qaedas-co.html,200,True
911,https://www.alternet.org/media/seymour-hersh-syria-bombshell,654.0,https://www.alternet.org/media/seymour-hersh-syria-bombshell/,404,True
912,http://www.wrongkindofgreen.org/2016/09/16/video-netflix-and-the-white-helmets-hand-in-hand-with-al-qaeda/,3.0,http://www.wrongkindofgreen.org/2016/09/16/video-netflix-and-the-white-helmets-hand-in-hand-with-al-qaeda/,403,False
913,http://www.syrianews.cc/local-syrian-residents-call-white-helmets-organ-traders/,80.0,https://www.syrianews.cc/local-syrian-residents-call-white-helmets-organ-traders/,200,True
914,http://www.riyadhvision.com.sa/2017/08/13/seven-white-helmets-medics-killed-in-syrias-idlib/,2.0,Not reached,Connection Failed,False
915,http://indianexpress.com/article/world/seven-white-helmets-members-shot-dead-in-northwestern-syria-4793530/,10.0,https://indianexpress.com/article/world/seven-white-helmets-members-shot-dead-in-northwestern-syria-4793530/,200,True
916,http://usa.timesofnews.com/7-white-helmets-members-shot-dead-in-northwestern-syria.html,1.0,http://usa.timesofnews.com/7-white-helmets-members-shot-dead-in-northwestern-syria.html,403,False
917,https://www.generosity.com/community-fundraising/support-a-children-s-center-in-douma,1.0,https://www.gofundme.com/c/fundraising-ideas/community-projects,200,True
918,http://Rojname.com/3261493,2.0,https://rojname.com/3261493,200,True
919,https://www.albawaba.com/loop/daraa-london-syria%E2%80%99s-white-helmets-send-message-british-firefighters-987574,2.0,https://www.albawaba.com/loop/daraa-london-syria%E2%80%99s-white-helmets-send-message-british-firefighters-987574,200,False
920,http://www.newslocker.com/en-us/news/games/the-latest-us-condemns-killing-of-7-white-helmets-in-syria/,3.0,https://www.newslocker.com/en-us/news/games/the-latest-us-condemns-killing-of-7-white-helmets-in-syria/,200,True
921,http://theantimedia.org/video-us-allowing-isis-escape-syria/,3.0,http://theantimedia.org/video-us-allowing-isis-escape-syria/,200,False
922,http://failedevolution.blogspot.com/2017/08/the-former-british-mercenary-who.html,1.0,http://failedevolution.blogspot.com/2017/08/the-former-british-mercenary-who.html,200,False
923,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEWFa9HHhmfKLgN00-ENH84SNYTSw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779534677351&ei=N8NHWaCSLsaShAHSy7jYAQ&url=http://www.cbsnews.com/news/the-white-helmets-fighting-for-life-in-syrias-vicious-civil-war/,1.0,https://news.google.com/topstories?sa=t&fd=R&ct2=us&usg=AFQjCNEWFa9HHhmfKLgN00-ENH84SNYTSw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779534677351&ei=N8NHWaCSLsaShAHSy7jYAQ&url=http://www.cbsnews.com/news/the-white-helmets-fighting-for-life-in-syrias-vicious-civil-war/&hl=en-US&gl=US&ceid=US:en,200,True
924,http://eaworldview.com/2017/08/syria-daily-civilian-death-toll-rises-in-raqqa/#whitehelmets,4.0,https://eaworldview.com/2017/08/syria-daily-civilian-death-toll-rises-in-raqqa/#whitehelmets,200,True
925,http://www.dailymail.co.uk/ushome/index.html,1.0,https://www.dailymail.co.uk/ushome/index.html,200,True
926,https://nworeport.me/2017/06/25/gruesome-video-oscar-feted-white-helmets-caught-dumping-mutilated-bodies-of-syrian-soldiers/,6.0,https://nworeport.me/2017/06/25/gruesome-video-oscar-feted-white-helmets-caught-dumping-mutilated-bodies-of-syrian-soldiers/,200,False
927,http://asheepnomore.net/?p=19288,1.0,http://asheepnomore.net/?p=19288,200,False
928,https://www.google.com/url?rct=j&sa=t&url=http://www.globalresearch.ca/syrias-white-helmets-al-qaedas-co-workers-severed-heads-of-syrian-arab-army-soldiers-paraded-as-trophies/5595637&ct=ga&cd=CAIyGjExMjM2ODhjYzgxYjNjMjQ6Y29tOmVuOlVT&usg=AFQjCNHFiszc0UGeL4NCzZve54RMM6vcLg,1.0,https://www.google.com/url?rct=j&sa=t&url=http://www.globalresearch.ca/syrias-white-helmets-al-qaedas-co-workers-severed-heads-of-syrian-arab-army-soldiers-paraded-as-trophies/5595637&ct=ga&cd=CAIyGjExMjM2ODhjYzgxYjNjMjQ6Y29tOmVuOlVT&usg=AFQjCNHFiszc0UGeL4NCzZve54RMM6vcLg,200,False
929,https://thewallwillfall.org/2017/05/23/white-helmets-aleppo-based-journalist-khaled-iskef-exposes-funding-streams-and-al-qaeda-ties/,203.0,https://thewallwillfall.org/2017/05/23/white-helmets-aleppo-based-journalist-khaled-iskef-exposes-funding-streams-and-al-qaeda-ties/,200,False
930,http://stateofglobe.no/blog/2017/06/26/newsweek-stikker-huller-i-white-helmets-myten/,1.0,https://stateofglobe.no/blog/2017/06/26/newsweek-stikker-huller-i-white-helmets-myten/,404,True
931,http://gooadv.com,1.0,https://www.gooadv.com/trending.php?q=USA,200,True
932,https://english.aawsat.com/said/news-middle-east/rage-idlib-white-helmets-slaughter,6.0,https://english.aawsat.com/said/news-middle-east/rage-idlib-white-helmets-slaughter,404,False
933,https://www.discussionist.com/1014360039,19.0,https://blacklivesmatter.com,503,True
934,http://21stcenturywire.com/2017/05/19/white-helmets-blasphemous-whitewash-of-their-execution-black-record/,112.0,https://21stcenturywire.com/2017/05/19/white-helmets-blasphemous-whitewash-of-their-execution-black-record/,403,True
935,http://21stcenturywire.com/2017/01/23/exposed-syrias-white-helmets-are-al-qaedas-civil-defence/,2.0,https://21stcenturywire.com/2017/01/23/exposed-syrias-white-helmets-are-al-qaedas-civil-defence/,403,True
936,http://trib.al/NLSW0DV,42.0,https://www.bloomberg.com/tosv2.html?vid=&uuid=b457fc50-2454-11eb-8bb8-bfe73ec3564a&url=L25ld3MvYXJ0aWNsZXMvMjAxNy0wOC0xMi83LXdoaXRlLWhlbG1ldHMtbWVtYmVycy1zaG90LWRlYWQtaW4tbm9ydGh3ZXN0ZXJuLXN5cmlhP2NtcGlkPXNvY2lhbGZsb3ctdHdpdHRlci1idXNpbmVzcyZ1dG1fY29udGVudD1idXNpbmVzcyZ1dG1fY2FtcGFpZ249c29jaWFsZmxvdy1vcmdhbmljJnV0bV9zb3VyY2U9dHdpdHRlciZ1dG1fbWVkaXVtPXNvY2lhbA==,200,True
937,http://21stcenturywire.com/2017/07/09/air-nato-a-look-inside-the-wests-secret-weapons-racket-thats-destroying-syria/,17.0,https://21stcenturywire.com/2017/07/09/air-nato-a-look-inside-the-wests-secret-weapons-racket-thats-destroying-syria/,403,True
938,http://watsupeurope.com/news/seven-white-helmets-medics-murdered-in-idlib/,1.0,Not reached,Connection Failed,False
939,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=EEF58A3C6E2F4A859351CA53A8D7B4F0&url=http://en.farsnews.com/newstext.aspx?nn=13960423000381&c=11830416864912986865&mkt=en-us,1.0,Not reached,Connection Failed,False
940,http://www.wrongkindofgreen.org/tag/the-white-helmets/,3.0,http://www.wrongkindofgreen.org/tag/the-white-helmets/,403,False
941,http://welcome-to-pottersville2.blogspot.com/2017/07/fourth-of-july-fab-fireworks-korea-in.html,1.0,http://welcome-to-pottersville2.blogspot.com/2017/07/fourth-of-july-fab-fireworks-korea-in.html,200,False
