USER,FOLLOWERS,USERTYPE
stagedreaction,3901.0,1.0
WHRO,3966.0,1.0
cni_org,3973.0,1.0
JenServenti,4133.0,1.0
timgollins,4149.0,1.0
JASIST,4353.0,1.0
Harry_MiniumODU,5006.0,1.0
ianmilligan1,5179.0,1.0
clancynewyork,5312.0,1.0
ChiefScientist,5450.0,1.0
elizabethagan,5600.0,1.0
BabaKristian,5748.0,1.0
FreeLawProject,6067.0,1.0
edsu,6189.0,1.0
UKWebArchive,6303.0,1.0
lisawilliams,6621.0,1.0
brettbobley,7076.0,1.0
archiveitorg,7181.0,1.0
Medium_Aevum,7275.0,1.0
tjowens,10266.0,1.0
Chopper_Boy,15481.0,1.0
merbroussard,17399.0,1.0
melissaterras,17996.0,1.0
nakedpastor,18648.0,1.0
katestarbird,31124.0,1.0
WeDontHaveTime,72325.0,1.0
rachelheldevans,163358.0,1.0
KHayhoe,169451.0,1.0
mattcutts,529821.0,1.0
